ID,Title,Date,Time,Author,Content_Preview,Image_URL
4317,Sávio Lima e a Karoline na Copa do Mundo,26 de jun. de 2014,05:44,Sérgio Fraiman,"Fala grande Sergio, marcando presença nesse super clássico entre Itália e Uruguai, e claro, levando comigo na pele o manto do Mecão. Eu (Sávio Lima) e a Karoline. Se você foi para algum estádio da Cop",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgI7CA9RMHacf1ANkB2ZeVwHSMps2MpRlYz179Ofd4rXFqbyqa4I9BbVzaQR0pYaAAaATcO1tXTxiOdmTkFXxorz44i3deVsoGtZkMZ2_oFiBPTgPwkF6udJ_rQ5yzQ6h_pyW1F5HS64JDU/s1600/DSC04455.JPG
9466,Gustavo realizou exames cardiológicos,,05:06,Sérgio Fraiman,"Como acontece com todos os jogadores que chegam ao clube, o lateral Gustavo realizou ontem exames cardiológicos na Cardioclínica, sob os cuidados do doutor Sérgio Pacheco.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgsAOzJGd9eAFI7ihnoAnbKmtuyIyZsAi65X2XstxEWh1qQzaAA75n3L077FX2KJ1MGJHev1vRFx00skxT20Iiy9dOgdLg_rSyOUlGncDg_cG5vBIlJPX69KXMSImemqbVSk_3cRb1_750O/s1600/a69972fc9b046423d58e0fec40b5339d.jpg
2796,"Gilson, Gilson Filho e Gláucia na Copa do Mundo",25 de jun. de 2014,21:27,Sérgio Fraiman,"Boa noite Sérgio,Segue em anexo fotos de Gilson Lacerda, Gilson Filho e Gláucia Lacerda com o manto sagrado do Mecão na copa do mundo, na arena das dunas, partida entre Itália x Uruguai. Gilson Se voc",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgsoHLjP4dBlqA6VgfecE2BpZgHOlx4rDnxvX9ci5uFwADxon_7XrVRwKVnfTDXVhuK9XsmjcKdEiq0sJdIBKyPvlsxAdopARjs-ybaNknorvqVQJ3cYmYFLgo4CKQk8HdYxt3avyltiyrS/s1600/10513402_586724334778630_6820181134527663439_n.jpg
9800,Família Costa Medeiros na Copa do Mundo,,21:02,Sérgio Fraiman,"Amigo Sérgio, boa noite.Olha aê a família COSTA MEDEIROS no jogão Itália x Uruguai. Eu Washington, Marcia minha amada esposa e os nossos filhos Lucas e Gabriel. Foi emocionante.Forte abraço e saudaçõe",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjVnOEhbdklHDlbrUOIzk6FRdkqq8c-m1bFhcUXmXOlbGwJJYZ9cfw2rLELqhfdo-AaFRW8nZQXdXYAmWq9il1LJMMc5tj3TnYbz6piZi8IsHVlP4k7c3GQn-Fv0KsUUlNsiJyy3oAD3bPO/s1600/IMG-20140624-WA0008.jpg
6184,Fabiano Duarte na Copa do Mundo,,20:53,Sérgio Fraiman,"Sérgio, Segue em anexo uma foto minha no jogo de ontem entre Itália x Uruguai.Desde já agradeço, Fabiano Duarte Se você foi para algum estádio da Copa com a camisa ou bandeira do Mecão e que ver a sua",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEge3H7UdFZ0J7PqTWNTFdbTQtz2fE30eHtioX4sX-wFojBACbpWfATBpz71aOAUXWQteUGwnmbhIclpzgX86zPMu-d-A2-aFEHuBX_XIw8IAaowc35nyOqDxQFRONPwAvEmgiAHVHb5HRo6/s1600/DSC02569(1).JPG
2186,Mayara Cunha na Copa do Mundo,,20:45,Sérgio Fraiman,Se você foi para algum estádio da Copa com a camisa ou bandeira do Mecão e que ver a sua foto publicada no Vermelho de Paixão é só enviá-la para o e-mail sergionatalrn@gmail.com.,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiegAWwQNRHzPT6FI0O3skZbcKubvHk6yh-gap9aML8j-s3kz3cZAlKFzoXHI_c3sLn_gO7vVpj9ocRwjHyjsMl-VTCPrwz3x1ng48Em40UrwJZdvBLCPkPJEKbKC_okhKJmKCg7HQXP4Ei/s1600/1504053_631532773609559_1308131339861214750_n.jpg
1015,Doados 8.000 blocos de cimento,,20:16,Sérgio Fraiman,"O conselheiro José de Medeiros publicou a seguinte nota no blog Mecão Voz e Vez: Quando digo que toda Arena América terá o DNA do Dragão não estou a brincar. Bastou, para construção do muro do em torn",http://www.blogger.com/img/icon18_edit_allbkg.gif
3142,Tem cara nova no CT,,08:19,Sérgio Fraiman,"Pintou a primeira cara nova no CT Abílio Medeiros, após a parada das dez primeiras rodadas da Série B. Trata-se do ala direito Gustavo, destaque do Auto Esporte no campeonato paraibano.",http://www.blogger.com/img/icon18_edit_allbkg.gif
7567,Mecão realiza amistoso no sábado,,05:34,Sérgio Fraiman,"O gerente de futebol Carlos Moura Dourado confirmou que o América joga amistosamente no próximo sábado, às 8:30 horas, contra a equipe do Currais Novos. O jogo será realizado no CT Abílio Medeiros.",http://www.blogger.com/img/icon18_edit_allbkg.gif
9029,Rafaela Sobral na Copa do Mundo,24 de jun. de 2014,16:26,Sérgio Fraiman,Se você foi para algum estádio da Copa com a camisa ou bandeira do Mecão e que ver a sua foto publicada no Vermelho de Paixão é só enviá-la para o e-mail sergionatalrn@gmail.com.,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhx32Ufn4_XrDevPwid1_6wX_NRSDy9cYkYSflQLmjee-Ew2C20wFKiUb3Q6nh1XVcuS2e5sE8Dd3l2gUj7aHOmO9vG0cPN4Qs5ap7yBdA_tyCpe9Y7u_XxcV0siNPWKcccgRNFWoInmOZu/s1600/20140624_124507.jpg
